id,name(EN),name(KR),producer,nation,local,varieties,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,in stock(재고수량),Vivino 평점,한줄요약,참고사항,상세설명,테이스팅 노트,페어링 정보,occasion,Occasion_Tags,Occasion_Struct,sample_group
ta011,J. Bouchon Maule Valley Chardonnay 2022,부숑 리제르바 2022,J. Bouchon,Chile,Maule Valley,Chardonnay,WHITE,Table,13.5,,1,3,2,0,32000,2022,750,20,3.7,151년 전통의 와이너리 ★3.7,VIVINO 3.9 | EN명:자동생성 | Vivino:표기(있을때만),(Vivino 평점 3.7) France의 화이트와 견줄만한 품질,"평점(Vivino): 3.7
복숭아·살구, 버터·미네랄, 크리미한 질감","조개, 스모크 연어",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta012,Maison André Goichot Bourgogne Pinot Noir 2020,부르고뉴 앙드레구아쇼 2020,Maison André Goichot,France,Bourgogne,Pinot Noir  ,RED,Table,13,,1,3,3,2,75000,2020,750,5,,부담없는 가격의 Pinot Noir  ,부르고뉴의 스타 생산자 | EN명:자동생성,"체리, 딸기, 라즈베리 등 신선한 붉은 과일향 ","체리·라즈베리, 꽃 향·버섯 흙내, 우아한 바디","치킨, 송아지 고기",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta013,Maison André Goichot Bourgogne Chardonnay 2020,부르고뉴 앙드레구아쇼 2020,Maison André Goichot,France,Bourgogne,Chardonnay,WHITE,Table,13,,1,4,2,0,60000,2020,750,3,,산뜻한 봄의 아로마 느낌,부르고뉴 화이트의 강자 | EN명:자동생성,"청사과, 황도, 열대 과일, 바닐라, 아몬드, 버터의 아로마","살구·사과·레몬, 산미·미네랄, 토스트 오크","생선, 치즈",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta014,Lupé‑Cholet Bourgogne Pinot Noir 2020,부르고뉴 도멘 루페숄레 2020,Lupé‑Cholet,France,Bourgogne,Pinot Noir  ,RED,Table,13,,1,3,3,2,80000,2020,750,40,,꼬뜨도르 유명 도멘,스웨덴 왕실 납품 공식 와이너리 | EN명:자동생성,"루이 14세의 결혼식에 와인을 공급했넌 와이너리로 유명. 밝은 가넷 빛, 딸기, 블랙커런트, 달콤한 향신료 아로마","딸기·체리, 허브·흙내, 부드러운 탄닌","양고기, 버섯 요리",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta015,Lupé‑Cholet Bourgogne Chardonnay 2020,부르고뉴 도멘 루페숄레 2020,Lupé‑Cholet,France,Bourgogne,Chardonnay,WHITE,Table,13,,1,3,3,0,80000,2020,750,100,,부르고뉴의 품격있는 와인,스웨덴 왕실 납품 공식 와이너리 | EN명:자동생성,"루이 14세의 결혼식에 와인을 공급했넌 와이너리로 유명. 신선하고 산뜻한 복숭아, 사과와 꿀처럼 달달하면서도 은은하게 퍼지는 꽃 향","백도·배, 레몬 제스트, 크리미 오크","치즈 샐러드, 크림파스타",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta016,Terres Gentiles Bourgogne Pinot Noir 2022,도멘 데 떼레 정띠에 2022,Terres Gentiles,France,Bourgogne,Pinot Noir  ,RED,Table,13,,1,3,2,2,70000,2022,750,200,,부르고뉴 Pinot Noir  ,떼루아 중심의 전통적 양조 방식 | EN명:자동생성,"붉은 과일 체리,라즈베리의 향과 향신료의 미묘한 향이 매력적","체리·라즈베리, 붉은 꽃, 미네랄 터치","구운 닭고기, 송아지 스테이크",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta017,Terres Gentiles Bourgogne Chardonnay 2022,도멘 데 떼레 정띠에 2022,Terres Gentiles,France,Bourgogne,Chardonnay,WHITE,Table,13,,1,3,2,0,60000,2022,750,30,,부르고뉴 Pinot Noir   샤르도네,떼루아 중심의 전통적 양조 방식 | EN명:자동생성,"말린 살구와 파인애플, 오렌지 아로마. ","복숭아·배, 버터·오크, 산미·미네랄","생선, 조개",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta018,Hedges Columbia Valley Cabernet-Sauvignon 2021,헤지스 CMS 2021,Hedges,USA,Columbia Valley,Cabernet-Sauvignon    ,RED,Table,14,,1,3,4,3,70000,2021,750,10,3.7,USA 와인 매니아를 위한 ★3.7,보르도 스타일의 블렌드 와인 | EN명:자동생성 | Vivino:표기(있을때만),"(Vivino 평점 3.7) 체리, 블랙 커런트, 자두, 가죽, earthy한 느낌의 아로마","평점(Vivino): 3.7
자두·바닐라, 초콜릿·스모크, 중간 바디","버거, 바비큐",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta019,Hedges Columbia Valley Sauvignon-blanc 2022,헤지스 CMS 2022,Hedges,USA,Columbia Valley,Sauvignon-blanc,WHITE,Table,13,,1,3,3,0,60000,2022,750,20,,USA 와인 매니아를 위한 ,워싱턴 최고의 토양 | EN명:자동생성," 레몬, 자몽, 복숭아, 패션 프루츠의 아로마","풀·허브, 라임·자몽, 상쾌하고 가벼움","샐러드, 타르타르",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta020,Castle Rock Central Coast Pinot Noir 2019,캐슬락 2019,Castle Rock,USA,Central Coast,Pinot Noir  ,RED,Table,13.5,,1,3,2.5,2,70000,2019,750,5,,메리트있는 가격의 Pinot Noir  ,음식과 매칭이 훌륭한 와인 | EN명:자동생성,음식 매칭이 좋은 Pinot Noir  ,"체리·라즈베리, 약간 토스트, 가볍고 우아함","감자구이, 전채요리",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta021,Castle Rock Central Coast Chardonnay 2019,캐슬락 2019,Castle Rock,USA,Central Coast,Chardonnay,WHITE,Table,13.5,,2.5,3,4,0,60000,2019,750,3,,호불호 없는 USA Chardonnay,드라이한 USA Chardonnay | EN명:자동생성,USA 드라이 Chardonnay,"사과·배, 바닐라·버터, 부드러운 마감","연어, 크림 소스",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta022,Hunters Marlborough Pinot Noir 2023,헌터스 HUNTERS 2023,Hunters,New Zealand,Marlborough,Pinot Noir  ,RED,Table,13,,1.5,3.5,2,2,50000,2023,750,40,,죽기전에 마셔야할 1001 와인 ,"유기농, 비건 기술 등 독보적인 와인 생산 | EN명:자동생성",죽기전에 마셔야할 1001 와인 선정,"라즈베리·체리, 꽃 향, 미네랄","파스타, 버섯 요리",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta023,Hunters Marlborough Sauvignon-blanc 2024,헌터스 HUNTERS 2024,Hunters,New Zealand,Marlborough,Sauvignon-blanc,WHITE,Table,13,,1,4,3,0,40000,2024,750,100,,죽기전에 마셔야할 1001 와인 ,Wine Spectator 90 | EN명:자동생성,"1982년 첫 빈티지부터 말보로 대회에서 각종 상을 휩쓸며 주목받은 와이너리. 라임, 자몽, 패션프루트, 구즈베리, 흰 꽃의 향을 중심으로 싱그러운 풀, 허브 캐릭터가 매력적","시트러스·패션프루트·청사과, 산미 강함","해산물, 샐러드",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta024,Terres Gentiles Bourgogne Chardonnay 2023,레 떼레 정띠에 샤블리 2023,Terres Gentiles,France,Bourgogne,Chardonnay,WHITE,Table,12.5,,1,3,3,0,70000,2023,750,200,,가성비 샤르도네 샤블리,깔끔한 산도의 세련된 맛 | EN명:자동생성,은은한 황금빛 컬러. 풍부한 과실향과 세련된 맛. 미네랄리티와 깔끔한 산도,"레몬·청사과·흰 꽃, 미네랄, 산미 선명","굴, 초밥",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta025,Maison André Goichot Bourgogne Chardonnay 2020,앙드레구아쇼 뫼르소 레비레이 2020,Maison André Goichot,France,Bourgogne,Chardonnay,WHITE,Table,13,,1,3,3,1,150000,2020,750,30,4.1,부르고뉴 화이트의 강자 앙드레구아쇼 ★4.1,프리미엄 Chardonnay의 고급스러운 멋 | EN명:자동생성 | Vivino:표기(있을때만),"오로지 소비자만 생각하며 와인을 만든다는 가족 경영 네고시앙 (Vivino 평점 4.1). 엘더플라워, 라임 등 플로럴한 향과 구운 아몬드, 헤이즐넛, 버터의 고소함, 미네랄 등의 아로마. 장기 숙성에도 적합","평점(Vivino): 4.1
복숭아·배·토스트, 크리미 질감, 미네랄","치즈, 크림요리",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta026,Fratelli Revello Piedmont Nebbiolo 2020,"프라텔레 레벨로, 바롤로 DOCG 2020",Fratelli Revello,Italy,Piedmont,Nebbiolo,RED,Table,15,,1,4,4,4,105000,2020,750,10,92,설명이 필요없는 와인의 왕 ★92.0,로버트 파커 90points | EN명:자동생성 | Vivino:표기(있을때만),"깊고 진한 자주 가넷 컬러, 숲, 젖은 흙내음, 허브향, 풍성한 트러플 향 (Vivino 평점 92.0).  탄닌, 산도, 바디감의 좋은 밸런스로 훌륭한 퍼포먼스를 보여줌.","평점(Vivino): 92.0
체리·장미·스파이스·가죽, 강한 탄닌·산미","스테이크, 트러플",데일리|대화용|선물,데일리|대화용|선물,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Gift"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta027,Fossacolle toscana Sangiovese Grosso 2017,"포사콜레, 브루넬로 디 몬탈치노 DOCG 2017",Fossacolle,Italy,toscana,Sangiovese Grosso,RED,Table,14.5,,1,3,4,3,190000,2017,750,20,93,몬탈치노의 탄탄한 부티끄와이너리 ★93.0,Sangiovese  의 집약된 맛 | EN명:자동생성 | Vivino:표기(있을때만),(Vivino 평점 93.0) 작지만 탄탄하게 성장해 온 부티크 와이너리,"평점(Vivino): 93.0
말린 체리·허브·토바코·가죽, 강한 탄닌·무게감",양고기 스튜,데일리|대화용|선물,데일리|대화용|선물,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Gift"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta028,San Fabiano Calcinaia Chianti Sangiovese 2021,"산 파비아노, 깔치나이아 끼안티 클라시코 DOCG 2021",San Fabiano Calcinaia,Italy,Chianti,Sangiovese  ,RED,Table,13,,1,4,3,3,55000,2021,750,5,3.8,끼안티를 빛내는 와이너리 ★3.8,2016 키안티를 빛낸 와이너리 선정 | EN명:자동생성 | Vivino:표기(있을때만),"적색 루비, 밝은 가넷 색, 잘익은 과일과 향신료 아로마가 매력적인 견고한 구조감의 와인 (Vivino 평점 3.8). 유기농, 비오디나믹 농법으로 재배","평점(Vivino): 3.8
라즈베리·체리, 오크 스파이스, 선명한 산도","피자, 토마토 파스타",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta029,Andreola Veneto Glera et al. 2023,안드레올라 디루포 발도비에데네 엑스트라드라이  DOCG (스파클링) 2023,Andreola,Italy,Veneto,Glera et al.,SPARKLING,Appetizer,11.5,,2,4,3,1,48000,2023,750,3,3.7,현대식 자연 친화 농법 ★3.7,베네토의 고급산지 발도비에데네 | EN명:자동생성 | Vivino:표기(있을때만),"맑고 깨끗한 느낌의 과실 풍미와 풍성하게 입 안을 채우는 부드러운 버블 (Vivino 평점 3.7). 효모 숙성 뉘앙스의 여운.현대식 자연 친화 농법, 베네토의 고급산지 발도비에데네","평점(Vivino): 3.7
사과·복숭아·아카시아, 미세 버블, 상쾌한 피니시","카나페, 해산물",첫잔|파티|피크닉|안주없이,첫잔|파티|피크닉|안주없이,"{""people"": ""Group"", ""place"": ""Event"", ""purpose"": ""Celebration"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta030,Beatrix de Gimbres Champagne Pinot Noir et al. non-vintage,베아트리스 드 짐브르 떼루아 프리미에 크뤼 브뤼 NV(non-vintage),Beatrix de Gimbres,France,Champagne,Pinot Noir et al.,SPARKLING,Appetizer,12,,1,4,3,0,99000,non-vintage,750,40,4.1,전통방식으로 만들어진 프리미에 크뤼 ★4.1,세상 모든 요리와 좋은 궁합 | EN명:자동생성 | Vivino:표기(있을때만),"(Vivino 평점 4.1) 과일과 꽃의 풍미가 좋은 섬세한 샴페인, 전통방식으로 만들어진 프리미에 크뤼, 세상 모든 요리와 좋은 궁합","평점(Vivino): 4.1
레몬·브리오슈·흰 꽃, 크리미 버블·미네랄","굴, 캐비어",첫잔|파티|피크닉|안주없이,첫잔|파티|피크닉|안주없이,"{""people"": ""Group"", ""place"": ""Event"", ""purpose"": ""Celebration"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta031,Beatrix de Gimbres Champagne Pinot Noir et al. non-vintage,베아트리스 드 짐브르 로제 프리미에 크뤼 브뤼 NV(non-vintage),Beatrix de Gimbres,France,Champagne,Pinot Noir et al.,SPARKLING,Appetizer,12,,1.5,5,3.5,1,120000,non-vintage,750,100,4,화사한 핑크빛과 아름다운 버블 ★4.0,기분좋은 산미와 매혹적인 컬러 | EN명:자동생성 | Vivino:표기(있을때만),"(Vivino 평점 4.0) 산뜻하면서 기분좋은 산미, 화사한 핑크빛과 아름다운 버블의 매혹적인 컬러","평점(Vivino): 4.0
체리·장미·블러드 오렌지, 풍부한 버블·산미","디저트, 애피타이저",첫잔|파티|피크닉|안주없이,첫잔|파티|피크닉|안주없이,"{""people"": ""Group"", ""place"": ""Event"", ""purpose"": ""Celebration"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta032,"SeaSmoke, Southing Pinot Noir",Sea Smoke Estate 피노 누아 California Santa Barbara County 2018,Sea Smoke Estate,USA,California Santa Barbara County,Pinot Noir  ,Red,Table,14~15,14~16,1,4,3,3,450000,2018,750,5,,감칠맛나는 와인 무드의 피노 누아 레드 — 입안이 까끌까끌한 결이 살아 있고 막걸리같은가 탄탄해요.,KR명:자동생성(검수필요) | 한줄요약:자동생성 | 테이스팅노트:자동생성 | 상세설명:자동생성 | 페어링:자동생성 | 재고:기본값(개발용) | Occasion:정규화 | 표현:정교화v2,"로버트몬다비의 무난한 선물용 와인 Sea Smoke Estate 피노 누아 California Santa Barbara County 2018 (2018). 도수 14~15, 750ml.

전체 톤은 막걸리같은와 짜릿한 맛의 균형. 타닌은 쓴맛, 단맛은 음료수같은 와인 쪽으로 읽힙니다. 그리고 식욕을 증진시키는 쪽으로 즐기기 좋아요.
구조감 맥락에서 한 병으로 분위기 만들기 좋은 타입입니다. (데일리·대화용)","전체 톤은 막걸리같은와 짜릿한 맛의 균형. 타닌은 쓴맛, 단맛은 음료수같은 와인 쪽으로 읽힙니다. 그리고 식욕을 증진시키는 쪽으로 즐기기 좋아요.","미트볼(토마토 라구), 숙성 치즈, 미트소스/라구",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta033,"Catena Zapata, Alamos Torrontes",Catena Zapata Torrontes Mendoza 2018,Catena Zapata,Argentina,Mendoza ,Torrontes  ,White,Table,13~14,10~17,1,3,2,1,26000,2018,750,5,,구조감에 어울리는 Torrontes 화이트. 입안이 개운한가 살아 있고 마시기 적당한는 담백해요.,KR명:자동생성(검수필요) | 한줄요약:자동생성 | 테이스팅노트:자동생성 | 상세설명:자동생성 | 페어링:자동생성 | 재고:기본값(개발용) | Occasion:정규화 | 표현:정교화v2,"Catena Zapata Torrontes Mendoza 2018는 탄닌이 강한에서 온 청포도로 만든 스타일입니다. 2018 빈티지 기준 13~14 도수, 750ml 구성.

키워드로 보면 묵직한 느낌의 텍스처 위에 입에 침이 고이는 정도가 살아 있고, 마무리는 목넘김이 좋은이 정돈합니다. 순한 맛 뉘앙스는 과하지 않아요. 특히 해산물과 잘어울리는 상황에 잘 어울립니다.
추천 상황은 데일리·대화용 쪽이에요.","묵직한 느낌의 텍스처 위에 입에 침이 고이는 정도가 살아 있고, 마무리는 목넘김이 좋은이 정돈합니다. 순한 맛 뉘앙스는 과하지 않아요. 특히 해산물과 잘어울리는 상황에 잘 어울립니다.","회/초밥, 치즈 플래터",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
